file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\Narendra\Desktop\OO_Programing\Group_Assignment_1\nifi\nifi-nar-bundles\nifi-evtx-bundle\nifi-evtx-processors\src\test\java\org\apache\nifi\processors\evtx\parser\bxml\value\BXmlTypeNodeTest.java,org.apache.nifi.processors.evtx.parser.bxml.value.BXmlTypeNodeTest,class,8,8,0,8,2,2,0,14,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,17,0,0,0,0,0,0,5,3,0,3,0,0,0,0,23,1,0
C:\Users\Narendra\Desktop\OO_Programing\Group_Assignment_1\nifi\nifi-nar-bundles\nifi-framework-bundle\nifi-framework\nifi-framework-cluster\src\main\java\org\apache\nifi\cluster\coordination\http\endpoints\FlowRegistryClientEndpointMerger.java,org.apache.nifi.cluster.coordination.http.endpoints.FlowRegistryClientEndpointMerger,class,6,7,1,6,7,2,0,9,3,0.6666667,0.0,0.0,3,0,1,0,2,0,3,0,0,0,4,3,3,1,0,0,4,0,2,22,4,0,0,0,0,6,0,4,0,4,1,0,0,0,43,1,0
C:\Users\Narendra\Desktop\OO_Programing\Group_Assignment_1\nifi\nifi-nar-bundles\nifi-framework-bundle\nifi-framework\nifi-framework-core\src\main\java\org\apache\nifi\controller\repository\claim\ContentDirection.java,org.apache.nifi.controller.repository.claim.ContentDirection,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1,0
C:\Users\Narendra\Desktop\OO_Programing\Group_Assignment_1\nifi\nifi-commons\nifi-security-socket-ssl\src\main\java\org\apache\nifi\remote\io\socket\ssl\SSLSocketChannel.java,org.apache.nifi.remote.io.socket.ssl.SSLSocketChannel,class,6,9,3,6,99,1,0,89,379,0.8615385,0.22794117,0.3382353,39,2,17,22,0,0,17,0,0,0,20,9,0,20,0,0,17,0,34,497,27,10,23,11,1,46,35,116,8,85,5,0,1,0,228,1,9
C:\Users\Narendra\Desktop\OO_Programing\Group_Assignment_1\nifi\nifi-nar-bundles\nifi-couchbase-bundle\nifi-couchbase-processors\src\test\java\org\apache\nifi\couchbase\TestCouchbaseClusterService.java,org.apache.nifi.couchbase.TestCouchbaseClusterService$SampleProcessor,innerclass,3,3,0,3,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,0
C:\Users\Narendra\Desktop\OO_Programing\Group_Assignment_1\nifi\nifi-nar-bundles\nifi-cipher-bundle\nifi-cipher-processors\src\main\java\org\apache\nifi\processors\cipher\CipherAttributeKey.java,org.apache.nifi.processors.cipher.CipherAttributeKey,class,0,0,0,0,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,3,0,0,5,0,0,0,0,0,3,0,3,0,3,0,0,0,0,22,0,0
C:\Users\Narendra\Desktop\OO_Programing\Group_Assignment_1\nifi\nifi-nar-bundles\nifi-framework-bundle\nifi-framework\nifi-framework-core\src\test\java\org\apache\nifi\controller\queue\clustered\server\TestStandardLoadBalanceProtocol.java,org.apache.nifi.controller.queue.clustered.server.TestStandardLoadBalanceProtocol,class,19,20,1,19,18,1,0,61,0,0.38842973,1.0,1.0,11,0,9,2,0,0,9,0,0,0,11,0,0,11,0,0,1,0,14,415,1,2,4,1,0,85,94,99,4,102,2,6,0,7,116,1,0
C:\Users\Narendra\Desktop\OO_Programing\Group_Assignment_1\nifi\nifi-nar-bundles\nifi-framework-bundle\nifi-framework\nifi-framework-core\src\test\java\org\apache\nifi\controller\queue\clustered\client\async\nio\TestPeerChannel.java,org.apache.nifi.controller.queue.clustered.client.async.nio.TestPeerChannel$Anonymous1,anonymous,4,4,0,4,1,1,0,4,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,2,0,2,0,1,0,0,13,-1,0
C:\Users\Narendra\Desktop\OO_Programing\Group_Assignment_1\nifi\nifi-nar-bundles\nifi-extension-utils\nifi-event-transport\src\test\java\org\apache\nifi\event\transport\netty\StringNettyEventSenderFactoryTest.java,org.apache.nifi.event.transport.netty.StringNettyEventSenderFactoryTest,class,19,20,1,19,11,1,0,42,6,0.7979798,0.6,0.6,9,0,4,5,0,0,5,0,0,0,11,9,0,11,0,0,9,0,2,111,3,0,0,5,0,5,8,36,0,38,1,0,0,1,81,1,1
C:\Users\Narendra\Desktop\OO_Programing\Group_Assignment_1\nifi\nifi-nar-bundles\nifi-framework-bundle\nifi-framework\nifi-client-dto\src\main\java\org\apache\nifi\web\api\dto\action\HistoryDTO.java,org.apache.nifi.web.api.dto.action.HistoryDTO,class,5,5,0,5,6,1,0,0,9,0.6666667,0.2,0.2,6,0,6,0,0,0,6,0,0,0,3,0,0,3,0,0,0,0,0,23,3,0,0,0,0,5,0,3,0,3,0,0,0,0,35,1,0
C:\Users\Narendra\Desktop\OO_Programing\Group_Assignment_1\nifi\minifi\minifi-toolkit\minifi-toolkit-schema\src\main\java\org\apache\nifi\minifi\toolkit\schema\exception\SchemaInstantiatonException.java,org.apache.nifi.minifi.toolkit.schema.exception.SchemaInstantiatonException,class,0,2,2,0,2,4,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
C:\Users\Narendra\Desktop\OO_Programing\Group_Assignment_1\nifi\nifi-commons\nifi-utils\src\test\java\org\apache\nifi\util\timebuffer\TestRingBuffer.java,org.apache.nifi.util.timebuffer.TestRingBuffer,class,4,4,0,4,17,1,0,12,15,0.0,0.0,0.0,6,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,118,0,11,0,0,0,0,42,22,0,21,1,4,0,0,27,1,0
